#{"t_start": 1776603862.111948, "env_id": "None"}
r,l,t
21.233118,35,0.990297
14.705254,35,1.005241
17.429516,37,1.282908
13.408468,43,1.667366
14.537155,37,2.007027
14.368208,35,2.349299
13.627373,46,2.797095
17.280576,34,3.122457
20.025861,33,3.442574
15.161223,38,3.821319
19.577963,37,4.187474
19.816575,36,4.5207
16.847467,35,4.868813
17.31568,34,5.207457
14.190915,41,5.59754
20.816017,36,5.95732
13.761235,36,6.316348
17.664354,37,6.670271
17.182009,40,7.046805
14.577742,35,7.390406
16.583748,32,7.708621
15.700869,34,8.042679
20.052207,38,8.375208
17.528747,38,8.63774
23.655008,33,8.867898
17.71062,35,9.108143
16.146582,35,9.352821
14.063272,32,9.573253
17.666543,37,9.831032
16.264432,36,10.081506
19.545371,38,10.344922
14.249971,35,10.586315
11.754914,37,10.842522
21.307583,40,11.119063
18.939351,34,11.353307
21.047556,35,11.593984
19.910164,35,11.839077
20.134,38,12.102588
21.124524,36,12.353285
19.118674,40,12.631443
19.122713,35,12.874678
20.014426,39,13.144689
16.168562,38,13.409341
20.145589,37,13.668364
20.832881,32,13.891729
16.501023,38,14.15313
19.466168,40,14.426538
20.556721,40,14.702164
15.54404,37,14.958136
21.483041,36,15.204963
23.888364,37,15.462225
24.011585,40,15.738154
23.404255,36,15.987369
18.63212,43,16.282208
19.47178,37,16.539524
18.859772,43,16.83651
26.633962,36,17.083007
23.023614,39,17.35405
24.812138,32,17.57611
17.419119,40,17.853568
23.378685,40,18.130403
20.106997,41,18.412719
22.561699,46,18.730517
23.581426,35,18.972113
19.583801,35,19.214453
21.276014,45,19.525325
21.979103,36,19.773267
20.550003,38,20.038404
24.762288,37,20.29432
22.735717,42,20.58331
23.74741,39,20.852448
21.210439,35,21.092444
25.320165,42,21.385713
22.254046,37,21.641566
16.49079,40,21.920258
15.97758,41,22.206412
23.390158,34,22.442464
22.454467,37,22.70049
22.974038,36,22.947725
23.740202,40,23.22375
26.196621,41,23.50932
24.1876,42,23.799727
20.370553,43,24.096339
25.319094,34,24.33297
22.921467,42,24.624514
20.318471,35,24.867347
22.565337,37,25.122979
19.851162,40,25.399165
22.262815,39,25.668767
21.549211,45,25.981812
24.364747,40,26.257818
27.541132,44,26.558732
22.654452,50,26.904086
25.65965,39,27.173691
22.256195,47,27.497336
25.3687,43,27.794998
24.280538,45,28.105668
25.982918,42,28.396579
24.355108,40,28.673651
21.193541,56,29.062888
25.670176,45,29.37879
26.08214,39,29.648482
28.359592,43,29.945825
21.379201,39,30.217774
26.318972,54,30.595748
19.305544,82,31.164685
30.619052,45,31.479785
25.363816,42,31.77252
5.001956,150,32.818836
28.433997,39,33.088529
29.651578,49,33.429767
22.290713,38,33.689914
29.630366,49,34.033668
25.037158,46,34.355035
23.174734,68,34.825651
22.693156,52,35.185127
29.427745,51,35.539693
24.428136,53,35.905706
-41.530595,122,36.754862
-1.743995,134,37.684774
25.45927,49,38.02704
22.77537,51,38.383893
24.936638,53,38.753215
27.964875,51,39.10677
16.911032,53,39.475099
14.450746,150,40.518867
-10.734328,150,41.554839
1.949586,150,42.595116
17.562308,147,43.614197
-3.718721,150,44.650517
23.696391,55,45.026477
27.605908,56,45.415648
6.965238,150,46.451461
-3.544198,150,47.489004
-16.822715,98,48.167618
-19.620201,104,48.904827
7.705494,75,49.626696
-34.398933,150,51.071086
-35.8765,107,52.100514
-25.33873,104,53.091873
-19.78809,96,54.031927
2.098578,84,54.862218
-17.125321,82,55.672954
-25.026932,64,56.302154
-17.162038,111,57.34652
-11.038121,85,58.184108
-24.943483,140,59.569073
-14.76774,98,60.437973
-15.723511,95,61.094256
-28.222945,67,61.52888
-13.732334,79,62.042249
-16.416536,76,62.535323
-29.693825,71,62.99764
-26.704622,61,63.39413
-14.366757,68,63.836605
-11.631631,71,64.297056
-17.969809,72,64.764708
-24.620656,101,65.421797
-27.98142,64,65.838958
-14.188169,72,66.306533
-14.910702,71,66.769863
-15.12388,63,67.180156
-18.514447,63,67.590557
-13.804208,63,67.999991
-17.22812,62,68.403475
-15.083811,66,68.831731
-11.959307,60,69.222522
-16.356047,65,69.644229
-18.641645,62,70.047217
-28.195608,58,70.425125
-17.613943,60,70.814746
-22.009645,67,71.25127
-14.860877,65,71.675674
-15.19069,65,72.097471
-185.574601,150,73.074109
-143.144987,150,74.049918
-133.120821,150,75.609377
-98.326725,100,76.523764
-168.826259,150,77.918426
-15.719501,83,78.692944
-17.226181,77,79.39235
-21.470714,99,80.278492
-23.651627,86,81.081949
-25.245646,79,81.820973
-23.376462,85,82.616516
-221.992718,150,83.97196
-27.343019,91,84.821187
-21.258674,81,85.570171
-28.019707,107,86.56721
2.729243,150,87.899755
-45.242734,149,89.174565
3.841599,150,90.223515
12.382474,150,91.270565
7.796708,150,92.321787
13.6561,150,93.372031
10.25462,150,94.421916
16.774808,150,95.470792
10.147211,150,96.522078
12.598428,150,97.572896
4.671435,150,98.621042
12.501058,150,99.668993
13.179073,150,100.717807
8.874183,150,101.762729
10.99034,150,102.807326
15.457183,150,103.856599
22.5365,76,104.3842
27.64689,135,105.324183
0.514486,150,106.37117
41.485446,114,107.160836
14.761098,150,108.206169
28.998998,66,108.662024
-0.681666,150,109.706189
-5.599998,150,110.753459
1.274068,150,111.796243
1.810296,150,112.843625
29.219735,135,113.786588
10.945566,145,114.79546
10.879014,150,115.839753
-20.515789,150,116.885145
-13.253651,150,117.930436
0.616265,150,118.97639
1.307163,150,120.023519
1.109771,150,121.0697
-17.727114,150,122.12161
29.017738,118,122.949843
13.999565,150,124.000027
33.900285,87,124.607738
40.61197,76,125.141684
33.392517,138,126.107712
24.16693,125,126.982842
31.453902,106,127.72486
10.800795,150,128.774133
34.975085,78,129.320859
11.661703,150,130.365935
38.822124,129,131.265723
12.775446,150,132.312092
14.149269,150,133.363994
4.60249,150,134.411132
5.242201,150,135.455304
8.971664,150,136.496985
18.104214,150,137.544285
9.679794,150,138.591033
38.736508,66,139.05236
21.318456,150,140.095217
16.084829,150,141.140419
8.218531,150,142.184551
-3.118235,150,143.219968
14.926832,150,144.247327
38.253191,61,144.671637
18.511992,150,145.718316
14.407289,150,146.765771
27.90672,150,148.376589
18.992548,150,149.413169
37.461458,69,149.894179
24.253901,150,150.942613
47.84416,92,151.587622
12.682215,150,152.6407
-3.473092,150,153.691554
17.780163,150,154.743623
16.615538,150,155.794014
-15.936864,82,156.369922
26.614377,96,157.041065
-24.845691,69,157.525692
5.06207,150,158.569789
11.01888,150,159.613858
20.009845,150,160.661758
18.080625,150,161.704716
18.295429,150,162.749168
1.91705,150,163.800111
24.154711,126,164.676938
19.02603,150,165.728427
3.046124,150,166.773234
7.354373,150,167.823255
1.89518,150,168.869338
38.939721,96,169.539148
15.031839,150,170.583025
48.272067,68,171.059296
13.859787,150,172.108236
48.013645,60,172.52558
15.612505,150,173.56861
49.622174,71,174.064216
43.586095,142,175.054726
22.71974,150,176.099677
26.537476,150,177.140257
49.592999,104,177.86576
48.527391,69,178.348899
28.790109,150,179.392403
48.386325,98,180.075867
29.047702,136,181.030508
24.064904,138,181.997699
42.761859,73,182.50846
47.794061,98,183.196856
49.88759,74,183.715644
26.134374,91,184.353614
32.152367,143,185.35485
23.652272,150,186.406727
53.83506,104,187.13803
