episode,global_step,episode_reward,avg_state_error,actor_loss,critic_loss,trajectory
0,200,-270.0645205365493,1.4266677340865135,0.22835015766322614,5.645369872897863,triangular
1,400,-259.26616656091056,1.9891077628731728,0.1574854862317443,2.5492899328749625,triangular
2,600,-257.2304947465657,1.7233133345842362,0.12148527221754193,1.7433807967044412,triangular
3,800,-265.52693634834134,2.5979219889640808,0.1494806730374694,1.2473515102826058,triangular
4,1000,-277.6545829792507,1.961553497314453,0.14777533072978258,1.2180204106122254,triangular
5,1200,-28.235955164581526,1.4416905465722083,0.1488035995140672,1.093768694587052,triangular
6,1400,-26.703661163337525,1.497510139942169,0.2033377344161272,0.9214644937217236,triangular
7,1600,-17.29176180120558,1.4550264015793801,0.18725980192422867,0.792930891700089,triangular
8,1800,-17.761186458589513,1.4514775413274765,0.25957177992910146,0.5071349234972149,triangular
9,2000,-18.323057255242034,1.4313801968097686,0.27708089344203474,0.567057312252,triangular
10,2200,-19.278802777640532,2.0992604264616967,0.3028244412317872,0.4920373668707907,triangular
11,2400,-2.96169753372669,1.5580725356936456,0.33771672725677493,0.3201693459972739,triangular
12,2600,-18.437944782897826,1.903896735906601,0.33395371805876495,0.33831799964420495,triangular
13,2800,-15.149377231718974,2.020524430274963,0.3735424756258726,0.25013761192094536,triangular
14,3000,-15.205563871189957,1.8905550575256347,0.36804414324462414,0.22172112856060266,triangular
15,3200,-19.568203893024485,1.9671525743603706,0.37963589005172255,0.18301332840230317,triangular
16,3400,-25.684680509939778,2.1274998673796652,0.38911821715533734,0.14989626229042188,triangular
17,3600,-15.101919649529735,1.8704175850749016,0.40216413341462615,0.13193426235578953,triangular
18,3800,-27.21541761760599,2.1882810485363007,0.38461178679019214,0.11375361596234143,triangular
19,4000,-13.321315988525747,1.7621309128403664,0.4125919906795025,0.11312926655635237,triangular
